Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6
37,4.437671352,4.54691187,1,5.504174445,5.516720498,1,7.498712679,6.957305794,2,4.437671352,0,0,6.831577866,8.173566227,1,0,0,0
38,2.729790253,6.502010838,1,6.890281499,1.613979332,0,0,0,0,2.729790253,0,0,0,0,0,0,0,0
38,2.729790253,6.502010838,1,6.890281499,1.613979332,1,7.92007652,6.839609106,0,2.729790253,0,0,0,0,0,0,0,0
38,2.729790253,6.502010838,1,6.890281499,1.613979332,1,7.92007652,6.839609106,1,2.729790253,0,0,0,0,0,0,0,0
38,2.729790253,6.502010838,1,6.890281499,1.613979332,1,7.92007652,6.839609106,1,2.729790253,3.909894425,2,0,0,0,0,0,0
39,7.902444258,3.938956634,0,4.999937243,5.747299586,0,6.719992917,3.990557746,5,7.902444258,0,0,0,0,0,6.476165374,4.350871702,0
39,7.902444258,3.938956634,0,4.999937243,5.747299586,0,6.719992917,3.990557746,5,7.902444258,0,0,0,0,0,6.476165374,4.350871702,4
40,3.27222991,4.921218116,0,5.493247901,7.186256018,0,5.869231386,5.858389827,2,3.27222991,0,0,0,0,0,5.24259781,4.004740624,0
40,3.27222991,4.921218116,0,5.493247901,7.186256018,0,5.869231386,5.858389827,2,3.27222991,0,0,0,0,0,5.24259781,4.004740624,1
41,3.316502534,6.5767836,0,7.096286531,3.611435123,0,5.580112326,6.757048778,5,3.316502534,0,0,0,0,0,3.664015102,7.48908065,0
41,3.316502534,6.5767836,0,7.096286531,3.611435123,0,5.580112326,6.757048778,5,3.316502534,0,0,0,0,0,3.664015102,7.48908065,1
42,3.714197982,5.730542922,0,5.576444513,5.15252243,0,3.373262438,5.519277059,3,3.714197982,0,0,0,0,0,4.51999414,5.816947464,0
42,3.714197982,5.730542922,0,5.576444513,5.15252243,0,3.373262438,5.519277059,3,3.714197982,0,0,0,0,0,4.51999414,5.816947464,2
43,6.760563154,3.794331882,0,4.039350887,4.884765782,0,5.608720737,5.573876041,4,6.760563154,0,0,0,0,0,3.90426417,3.902814385,0
43,6.760563154,3.794331882,0,4.039350887,4.884765782,0,5.608720737,5.573876041,4,6.760563154,0,0,0,0,0,3.90426417,3.902814385,1
43,6.760563154,3.794331882,0,4.039350887,4.884765782,0,5.028514093,4.240859756,2,6.760563154,0,0,0,0,0,3.90426417,3.902814385,1
43,6.760563154,3.794331882,0,4.039350887,4.884765782,0,5.028514093,4.240859756,2,6.760563154,6.05952315,1,0,0,0,3.90426417,3.902814385,1
44,7.145306643,2.637757439,0,5.912021141,4.905296603,0,3.584098164,6.694774846,3,7.145306643,0,0,0,0,0,2.745269217,2.375902969,0
44,7.145306643,2.637757439,0,5.912021141,4.905296603,0,3.584098164,6.694774846,3,7.145306643,0,0,0,0,0,2.745269217,2.375902969,1
45,0.944018582,5.426480541,0,5.10139173,5.859468507,0,5.952989508,2.097060875,4,0.944018582,0,0,0,0,0,3.247765047,4.376058025,0
45,0.944018582,5.426480541,0,5.10139173,5.859468507,0,5.952989508,2.097060875,4,0.944018582,0,0,0,0,0,3.247765047,4.376058025,1
45,0.944018582,5.426480541,0,5.10139173,5.859468507,0,4.84068396,3.780994138,2,0.944018582,0,0,0,0,0,3.247765047,4.376058025,1
46,4.306823829,1.489155723,1,3.86160128,4.913617933,0,0,0,0,4.306823829,0,0,0,0,0,0,0,0
46,4.306823829,1.489155723,1,3.86160128,4.913617933,1,6.010047139,2.710474458,0,4.306823829,0,0,0,0,0,0,0,0
45,0.944018582,5.426480541,0,5.10139173,5.859468507,0,4.84068396,3.780994138,2,0.944018582,6.748462684,1,0,0,0,3.247765047,4.376058025,1
46,4.306823829,1.489155723,1,3.86160128,4.913617933,1,6.010047139,2.710474458,3,4.306823829,0,0,0,0,0,0,0,0
46,4.306823829,1.489155723,1,3.86160128,4.913617933,1,6.010047139,2.710474458,3,4.306823829,0,0,5.311261346,1.548171908,2,0,0,0
47,6.231947413,7.065655969,0,7.417115415,6.659271154,0,4.652135512,5.372767376,4,6.231947413,0,0,0,0,0,5.638671243,6.805006856,0
47,6.231947413,7.065655969,0,7.417115415,6.659271154,0,4.652135512,5.372767376,4,6.231947413,0,0,0,0,0,5.638671243,6.805006856,1
47,6.231947413,7.065655969,0,7.417115415,6.659271154,0,2.330618759,6.186932911,2,6.231947413,0,0,0,0,0,5.638671243,6.805006856,1
48,4.589735777,6.535287271,2,6.540598772,4.870171752,0,0,0,0,4.589735777,0,0,0,0,0,0,0,0
48,4.589735777,6.535287271,2,6.540598772,4.870171752,1,4.966997412,6.948074808,0,4.589735777,0,0,0,0,0,0,0,0
47,6.231947413,7.065655969,0,7.417115415,6.659271154,0,2.330618759,6.186932911,2,6.231947413,6.534227069,1,0,0,0,5.638671243,6.805006856,1
48,4.589735777,6.535287271,2,6.540598772,4.870171752,1,4.966997412,6.948074808,2,4.589735777,0,0,0,0,0,0,0,0
48,4.589735777,6.535287271,2,6.540598772,4.870171752,1,4.966997412,6.948074808,2,4.589735777,1.51909767,2,0,0,0,0,0,0
49,5.443014942,5.893401514,0,4.925631536,5.025870387,0,5.324645114,4.8077631,5,5.443014942,0,0,0,0,0,5.329502893,7.049316049,0
49,5.443014942,5.893401514,0,4.925631536,5.025870387,0,5.324645114,4.8077631,5,5.443014942,0,0,0,0,0,5.329502893,7.049316049,1
50,4.425557912,4.490972001,1,1.907735438,3.398974596,0,0,0,0,4.425557912,0,0,0,0,0,0,0,0
50,4.425557912,4.490972001,1,1.907735438,3.398974596,1,3.436791006,5.116106119,0,4.425557912,0,0,0,0,0,0,0,0
50,4.425557912,4.490972001,1,1.907735438,3.398974596,1,3.436791006,5.116106119,2,4.425557912,0,0,0,0,0,0,0,0
50,4.425557912,4.490972001,1,1.907735438,3.398974596,1,3.436791006,5.116106119,2,4.425557912,5.798274857,2,0,0,0,0,0,0
51,6.920604755,2.738833215,1,5.330940513,2.843015938,0,0,0,0,6.920604755,0,0,0,0,0,0,0,0
51,6.920604755,2.738833215,1,5.330940513,2.843015938,1,4.906455646,4.401639283,0,6.920604755,0,0,0,0,0,0,0,0
51,6.920604755,2.738833215,1,5.330940513,2.843015938,1,4.906455646,4.401639283,2,6.920604755,0,0,0,0,0,0,0,0
51,6.920604755,2.738833215,1,5.330940513,2.843015938,1,4.906455646,4.401639283,2,6.920604755,5.217704624,2,0,0,0,0,0,0
52,5.288907764,4.600558081,0,5.661564121,4.21869228,0,3.745842965,5.45364838,2,5.288907764,0,0,0,0,0,4.71528793,6.112741248,0
52,5.288907764,4.600558081,0,5.661564121,4.21869228,0,3.745842965,5.45364838,2,5.288907764,0,0,0,0,0,4.71528793,6.112741248,2
52,5.288907764,4.600558081,0,5.661564121,4.21869228,0,7.11095553,6.107947931,3,5.288907764,0,0,0,0,0,4.71528793,6.112741248,2
53,5.918915418,3.404597626,1,6.578870452,2.978687845,0,0,0,0,5.918915418,0,0,0,0,0,0,0,0
53,5.918915418,3.404597626,1,6.578870452,2.978687845,1,4.728710965,4.630309209,0,5.918915418,0,0,0,0,0,0,0,0
52,5.288907764,4.600558081,0,5.661564121,4.21869228,0,7.11095553,6.107947931,3,5.288907764,5.944427422,3,0,0,0,4.71528793,6.112741248,2
53,5.918915418,3.404597626,1,6.578870452,2.978687845,1,4.728710965,4.630309209,3,5.918915418,0,0,0,0,0,0,0,0
53,5.918915418,3.404597626,1,6.578870452,2.978687845,1,4.728710965,4.630309209,3,5.918915418,3.978585328,1,0,0,0,0,0,0
54,7.275570068,5.648298083,0,4.17339698,7.935267385,0,4.136181598,3.980827719,2,7.275570068,0,0,0,0,0,3.222362468,6.207158893,0
54,7.275570068,5.648298083,0,4.17339698,7.935267385,0,4.136181598,3.980827719,2,7.275570068,0,0,0,0,0,3.222362468,6.207158893,1
55,3.725969799,2.823078932,1,3.811122516,3.477256673,0,0,0,0,3.725969799,0,0,0,0,0,0,0,0
55,3.725969799,2.823078932,1,3.811122516,3.477256673,1,5.17576139,4.888168764,0,3.725969799,0,0,0,0,0,0,0,0
55,3.725969799,2.823078932,1,3.811122516,3.477256673,1,5.17576139,4.888168764,2,3.725969799,0,0,0,0,0,0,0,0
